-1.934707542,29.895925199652545 - 5.521306815924999im,29.895925199652545 + 5.521306815924999im
-1.935168812,29.896155834420526 - 5.52263629223863im,29.896155834420526 + 5.52263629223863im
-1.935431601,29.896287228841363 - 5.5233935750657395im,29.896287228841363 + 5.5233935750657395im
-1.935560255,29.896351555824026 - 5.523764284828061im,29.896351555824026 + 5.523764284828061im
-1.935543831,29.896343343925007 - 5.523716961761666im,29.896343343925007 + 5.523716961761666im
-1.935859983,29.896501420091276 - 5.524627849366613im,29.896501420091276 + 5.524627849366613im
-1.936104958,29.896623907820192 - 5.525333570592407im,29.896623907820192 + 5.525333570592407im
-1.936280132,29.896711494566237 - 5.525838157203664im,29.896711494566237 + 5.525838157203664im
-1.93645667,29.89679976369026 - 5.526346632591388im,29.89679976369026 + 5.526346632591388im
-1.936746787,29.89694482199809 - 5.527182150363964im,29.89694482199809 + 5.527182150363964im
-1.936600361,29.89687160924848 - 5.526760468411506im,29.89687160924848 + 5.526760468411506im
-1.936742682,29.896942769321996 - 5.527170328006811im,29.896942769321996 + 5.527170328006811im
-1.936827525,29.89698519108579 - 5.527414650844233im,29.89698519108579 + 5.527414650844233im
-1.936931526,29.89703719135864 - 5.527714126505976im,29.89703719135864 + 5.527714126505976im
-1.937106681,29.89712476927452 - 5.528218464627865im,29.89712476927452 + 5.528218464627865im
-1.937233941,29.897188398930485 - 5.528584864790342im,29.897188398930485 + 5.528584864790342im
-1.93729278,29.897217818760097 - 5.528754266229184im,29.897217818760097 + 5.528754266229184im
-1.937462455,29.897302656156207 - 5.5292427394635855im,29.897302656156207 + 5.5292427394635855im
-1.937592446,29.897367651360582 - 5.529616939600207im,29.897367651360582 + 5.529616939600207im
-1.937634863,29.89738886009902 - 5.529739040745653im,29.89738886009902 + 5.529739040745653im
-1.937558238,29.89735054745934 - 5.529518468688205im,29.89735054745934 + 5.529518468688205im
-1.93767728,29.897410068727734 - 5.529861138807419im,29.897410068727734 + 5.529861138807419im
-1.937689595,29.897416226051 - 5.529896586054242im,29.897416226051 + 5.529896586054242im
-1.937778534,29.89746069533335 - 5.530152586231729im,29.89746069533335 + 5.530152586231729im
-1.937918097,29.897530476927095 - 5.530554282264601im,29.897530476927095 + 5.530554282264601im
-1.937952303,29.897547580077656 - 5.530652732082626im,29.897547580077656 + 5.530652732082626im
-1.937972827,29.89755784193374 - 5.530711801011273im,29.89755784193374 + 5.530711801011273im
-1.938043975,29.897593416169297 - 5.530916567710638im,29.897593416169297 + 5.530916567710638im
-1.9380946,29.897618728418166 - 5.53106226181294im,29.897618728418166 + 5.53106226181294im
-1.938123332,29.89763309476016 - 5.531144951107428im,29.89763309476016 + 5.531144951107428im
-1.938202689,29.897672772966995 - 5.531373323718143im,29.897672772966995 + 5.531373323718143im
-1.938403813,29.897773334978076 - 5.531952081860512im,29.897773334978076 + 5.531952081860512im
-1.93833814,29.897740498674256 - 5.531763107225839im,29.897740498674256 + 5.531763107225839im
-1.938424335,29.897783596269086 - 5.532011134919499im,29.897783596269086 + 5.532011134919499im
-1.938454435,29.897798646116104 - 5.53209774476834im,29.897798646116104 + 5.53209774476834im
-1.938520107,29.8978314819542 - 5.532286706327599im,29.8978314819542 + 5.532286706327599im
-1.938656921,29.897899889105567 - 5.532680352531845im,29.897899889105567 + 5.532680352531845im
-1.938659657,29.897901257236953 - 5.532688225129138im,29.897901257236953 + 5.532688225129138im
-1.938786893,29.897964874842145 - 5.5330542867524874im,29.897964874842145 + 5.5330542867524874im
-1.938829304,29.897986080491172 - 5.5331763011372965im,29.897986080491172 + 5.5331763011372965im
-1.938811518,29.897977187812998 - 5.533125134189363im,29.897977187812998 + 5.533125134189363im
-1.93883204,29.897987448593796 - 5.533184172927398im,29.897987448593796 + 5.533184172927398im
-1.938974321,29.898058589301066 - 5.533593488360761im,29.898058589301066 + 5.533593488360761im
-1.939064614,29.898103735648107 - 5.533853228268383im,29.898103735648107 + 5.533853228268383im
-1.939068718,29.89810578774298 - 5.533865034296448im,29.89810578774298 + 5.533865034296448im
-1.939082399,29.898112628051802 - 5.53390438751524im,29.898112628051802 + 5.53390438751524im
-1.939183635,29.89816324598238 - 5.534195591384745im,29.89816324598238 + 5.534195591384745im
-1.939190475,29.898166666090283 - 5.534215266689666im,29.898166666090283 + 5.534215266689666im
-1.939210996,29.898176926396886 - 5.534274292124297im,29.898176926396886 + 5.534274292124297im
-1.939309494,29.898226175511134 - 5.534557604186152im,29.898226175511134 + 5.534557604186152im
